joint,a,alpha,d,theta
joint1,0.0,-1.5707963267948966,0.1275,0.0
joint2,0.19715,0.0,0.0,-1.5707963267948966
joint3,0.0455,-1.5707963267948966,0.0,0.0
joint4,0.0,1.5707963267948966,0.2317,0.0
joint5,0.0,-1.5707963267948966,0.0,0.0
joint6,0.0,0.0,0.1033,0.0
