idx,target_x,target_y,target_z,J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0,0.2960764342448203,0.19716621602278844,0.12755439918915779,1.3709465377203809,0.18949289021651872,0.8109068216958333,-1.693161168857795,1.3862900915840666,2.5385909867469114
1,0.29607659049482027,0.19716621602278844,0.12755439918915779,1.3709457741027358,0.18949302371403132,0.8109066578606693,-1.6931618153579913,1.3862896786366286,2.5385910073138955
2,0.29607705924482025,0.19716621602278844,0.12755439918915779,1.3709434832512177,0.1894934242095232,0.8109061663514336,-1.693163754857502,1.3862884397949407,2.538591069015608
3,0.2960778404948203,0.19716621602278844,0.12755439918915779,1.3709396651700785,0.1894940917118504,0.8109053471568951,-1.6931669873530912,1.386286375060878,2.538591171854328
4,0.2960789342448203,0.19716621602278844,0.12755439918915779,1.3709343198664052,0.18949502623577175,0.8109042002583355,-1.6931715128393656,1.3862834844375673,2.5385913158338487
5,0.2960803404948203,0.19716621602278844,0.12755439918915779,1.37092744735012,0.18949622780195163,0.8109027256295489,-1.6931773313087737,1.3862797679293857,2.5385915009594844
6,0.2960820592448203,0.19716621602278844,0.12755439918915779,1.3709190476339808,0.1894976964369537,0.8109009232368428,-1.6931844427516056,1.3862752255419606,2.5385917272380643
7,0.29608409049482026,0.19716621602278844,0.12755439918915779,1.3709091207335804,0.1894994321732506,0.810898793039037,-1.693192847155995,1.3862698572821717,2.5385919946779385
8,0.2960864342448203,0.19716621602278844,0.12755439918915779,1.3708976666673485,0.18950143504921257,0.8108963349874649,-1.6932025445079149,1.386263663158148,2.538592303288971
9,0.2960890904948203,0.19716621602278844,0.12755439918915779,1.3708846854565524,0.18950370510911974,0.8108935490259727,-1.6932135347911799,1.386256643179272,2.538592653082548
10,0.2960920592448203,0.19716621602278844,0.12755439918915779,1.370870177125296,0.18950624240314617,0.8108904350909203,-1.6932258179874446,1.3862487973561763,2.5385930440715656
11,0.2960953404948203,0.19716621602278844,0.12755439918915779,1.3708541417005227,0.1895090469873768,0.8108869931111811,-1.6932393940762032,1.3862401257007468,2.538593476270444
12,0.29609893424482026,0.19716621602278844,0.12755439918915779,1.3708365792120145,0.18951211892378872,0.8108832230081428,-1.6932542630347875,1.3862306282261203,2.5385939496951107
13,0.2961028404948203,0.19716621602278844,0.12755439918915779,1.370817489692394,0.18951545828026894,0.8108791246957066,-1.6932704248383688,1.3862203049466877,2.5385944643630163
14,0.2961070592448203,0.19716621602278844,0.12755439918915779,1.3707968731771252,0.18951906513060024,0.8108746980802886,-1.693287879459954,1.3862091558780925,2.538595020293122
15,0.2961115904948203,0.19716621602278844,0.12755439918915779,1.3707747297045152,0.1895229395544682,0.8108699430608196,-1.6933066268703858,1.3861971810372322,2.538595617505905
16,0.29611643424482026,0.19716621602278844,0.12755439918915779,1.3707510593157144,0.1895270816374559,0.8108648595287457,-1.693326667038343,1.3861843804422582,2.538596256023356
