idx,target_x,target_y,target_z,J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0,0.29178722719625255,0.1933729196225683,0.13859555717448865,1.392427513129542,0.15266836094367076,0.8216473094004134,-1.6762832596077402,1.4169771993114397,2.5155756559513813
1,0.29178738344625255,0.1933729196225683,0.13859555717448865,1.3924267356522373,0.152668484407112,0.8216471638770698,-1.6762839065568516,1.4169767626806535,2.5155756802860765
2,0.29178785219625253,0.1933729196225683,0.13859555717448865,1.3924244032216306,0.15266885480056835,0.8216467273032434,-1.6762858474032607,1.4169754527889646,2.5155757532911514
3,0.29178863344625255,0.1933729196225683,0.13859555717448865,1.3924205158416454,0.15266947213343407,0.8216459996675476,-1.6762890821441914,1.4169732696383806,2.5155758749695685
4,0.29178972719625257,0.1933729196225683,0.13859555717448865,1.3924150735188203,0.15267033642137573,0.8216449809510044,-1.6762936107750175,1.4169702132322488,2.515576045326274
5,0.29179113344625257,0.1933729196225683,0.13859555717448865,1.3924080762623103,0.1526714476863189,0.8216436711270447,-1.6762994332892616,1.4169662835752554,2.515576264368186
6,0.29179285219625256,0.1933729196225683,0.13859555717448865,1.392399524083887,0.15267280595645616,0.821642070161509,-1.6763065496785952,1.4169614806734254,2.5155765321042005
7,0.29179488344625254,0.1933729196225683,0.13859555717448865,1.3923894169979374,0.15267441126624526,0.8216401780126464,-1.6763149599328382,1.4169558045341237,2.5155768485451926
8,0.29179722719625256,0.1933729196225683,0.13859555717448865,1.392377755021467,0.1526762636564074,0.8216379946311153,-1.6763246640399592,1.4169492551660543,2.515577213704011
9,0.2917998834462526,0.1933729196225683,0.13859555717448865,1.3923645381740992,0.15267836317392813,0.8216355199599836,-1.6763356619860734,1.4169418325792618,2.515577627595481
10,0.29180285219625257,0.1933729196225683,0.13859555717448865,1.3923497664780755,0.15268070987205462,0.8216327539347289,-1.6763479537554433,1.4169335367851303,2.515578090236403
11,0.29180613344625256,0.1933729196225683,0.13859555717448865,1.3923334399582574,0.15268330381030104,0.8216296964832387,-1.6763615393304778,1.4169243677963856,2.5155786016455544
12,0.29180972719625253,0.1933729196225683,0.13859555717448865,1.3923155586421272,0.15268614505444322,0.8216263475258099,-1.6763764186917314,1.4169143256270946,2.5155791618436876
13,0.29181363344625255,0.1933729196225683,0.13859555717448865,1.3922961225597876,0.15268923367651865,0.8216227069751503,-1.6763925918179035,1.4169034102926652,2.515579770853527
14,0.29181785219625256,0.1933729196225683,0.13859555717448865,1.3922751317439659,0.15269256975482648,0.8216187747363779,-1.6764100586858361,1.4168916218098486,2.515580428699772
15,0.29182238344625255,0.1933729196225683,0.13859555717448865,1.3922525862300121,0.15269615337393105,0.8216145507070219,-1.6764288192705152,1.416878960196739,2.5155811354090987
16,0.29182722719625254,0.1933729196225683,0.13859555717448865,1.3922284860559022,0.15269998462465306,0.8216100347770222,-1.6764488735450682,1.4168654254727737,2.5155818910101506
17,0.29183238344625256,0.1933729196225683,0.13859555717448865,1.392202831262239,0.15270406360407485,0.8216052268287305,-1.6764702214807625,1.4168510176587346,2.5155826955335447
18,0.2918378521962526,0.1933729196225683,0.13859555717448865,1.3921756218922534,0.15270839041554218,0.8216001267369103,-1.676492863047006,1.4168357367767486,2.5155835490118736
19,0.2918436334462525,0.1933729196225683,0.13859555717448865,1.3921468579918077,0.15271296516865362,0.8215947343687373,-1.6765167982113423,1.4168195828502892,2.515584451479694
20,0.2918497271962526,0.1933729196225683,0.13859555717448865,1.3921165396093942,0.15271778797927116,0.8215890495838,-1.6765420269394546,1.416802555904176,2.5155854029735383
21,0.29185613344625255,0.1933729196225683,0.13859555717448865,1.392084666796141,0.15272285896951043,0.8215830722340998,-1.6765685491951585,1.416784655964577,2.5155864035319024
22,0.2918628521962526,0.1933729196225683,0.13859555717448865,1.3920512396058107,0.15272817826774698,0.8215768021640519,-1.676596364940405,1.4167658830590086,2.5155874531952547
23,0.29186988344625253,0.1933729196225683,0.13859555717448865,1.3920162580948046,0.1527337460086109,0.8215702392104854,-1.6766254741352762,1.4167462372163373,2.51558855200603
24,0.29187722719625253,0.1933729196225683,0.13859555717448865,1.391979722322163,0.1527395623329859,0.8215633832026442,-1.6766558767379844,1.41672571846678,2.5155897000086265
25,0.2918848834462526,0.1933729196225683,0.13859555717448865,1.3919416323495695,0.15274562738801212,0.8215562339621871,-1.6766875727048713,1.4167043268419062,2.5155908972494117
26,0.29189285219625255,0.1933729196225683,0.13859555717448865,1.3919019882413524,0.1527519413270806,0.8215487913031886,-1.6767205619904038,1.416682062374638,2.5155921437767144
27,0.29190113344625257,0.1933729196225683,0.13859555717448865,1.3918607900644868,0.15275850430983517,0.8215410550321394,-1.6767548445471738,1.416658925099252,2.5155934396408264
28,0.2919097271962526,0.1933729196225683,0.13859555717448865,1.391818037888598,0.15276531650216807,0.8215330249479473,-1.676790420325896,1.4166349150513804,2.5155947848940015
29,0.2919186334462526,0.1933729196225683,0.13859555717448865,1.3917737317859635,0.1527723780762269,0.8215247008419374,-1.6768272892754064,1.416610032268013,2.5155961795904567
30,0.29192785219625256,0.1933729196225683,0.13859555717448865,1.3917278718315165,0.1527796892104023,0.8215160824978531,-1.6768654513426575,1.416584276787497,2.5155976237863653
31,0.29193738344625253,0.1933729196225683,0.13859555717448865,1.391680458102848,0.15278725008933502,0.8215071696918563,-1.6769049064727193,1.41655764864954,2.51559911753986
32,0.29194722719625255,0.1933729196225683,0.13859555717448865,1.3916314906802099,0.1527950609039106,0.8214979621925288,-1.676945654608775,1.4165301478952104,2.5156006609110304
33,0.29195738344625255,0.1933729196225683,0.13859555717448865,1.3915809696465193,0.15280312185125844,0.8214884597608721,-1.6769876956921186,1.4165017745669393,2.515602253961918
34,0.29196785219625254,0.1933729196225683,0.13859555717448865,1.39152889508736,0.15281143313475454,0.8214786621503097,-1.6770310296621533,1.4164725287085225,2.5156038967565246
35,0.2919786334462526,0.1933729196225683,0.13859555717448865,1.3914752670909871,0.1528199949640161,0.821468569106686,-1.6770756564563891,1.4164424103651214,2.5156055893608014
36,0.29198972719625255,0.1933729196225683,0.13859555717448865,1.3914200857483296,0.15282880755489625,0.8214581803682685,-1.6771215760104377,1.4164114195832653,2.5156073318426464
37,0.29200113344625256,0.1933729196225683,0.13859555717448865,1.3913633511529937,0.15283787112949376,0.8214474956657474,-1.6771687882580133,1.4163795564108521,2.5156091242719136
38,0.29201285219625256,0.1933729196225683,0.13859555717448865,1.3913050634012678,0.15284718591614244,0.821436514722238,-1.677217293130927,1.4163468208971515,2.515610966720402
39,0.29202488344625255,0.1933729196225683,0.13859555717448865,1.3912452225921244,0.1528567521494102,0.8214252372532805,-1.6772670905590858,1.4163132130928056,2.515612859261855
40,0.2920372271962526,0.1933729196225683,0.13859555717448865,1.391183828827225,0.15286657007010263,0.8214136629668407,-1.677318180470488,1.416278733049831,2.515614801971962
41,0.29204988344625255,0.1933729196225683,0.13859555717448865,1.3911208822109242,0.15287663992525768,0.821401791563312,-1.6773705627912208,1.4162433808216217,2.515616794928357
42,0.29206285219625255,0.1933729196225683,0.13859555717448865,1.3910563828502722,0.15288696196814122,0.8213896227355152,-1.677424237445458,1.4162071564629493,2.5156188382106093
43,0.29207613344625255,0.1933729196225683,0.13859555717448865,1.390990330855021,0.15289753645825144,0.8213771561687001,-1.6774792043554554,1.4161700600299665,2.5156209319002314
44,0.29208972719625254,0.1933729196225683,0.13859555717448865,1.3909227263376274,0.15290836366131444,0.8213643915405467,-1.677535463441548,1.4161320915802087,2.515623076080672
45,0.29210363344625256,0.1933729196225683,0.13859555717448865,1.390853569413256,0.15291944384928158,0.8213513285211652,-1.677593014622148,1.4160932511725954,2.515625270837315
46,0.2921178521962525,0.1933729196225683,0.13859555717448865,1.390782860199787,0.152930777300325,0.8213379667730987,-1.6776518578137383,1.4160535388674333,2.515627516257474
47,0.29213238344625253,0.1933729196225683,0.13859555717448865,1.390710598817817,0.15294236429884656,0.8213243059513223,-1.6777119929308724,1.4160129547264186,2.515629812430401
48,0.2921472271962526,0.1933729196225683,0.13859555717448865,1.3906367853906663,0.15295420513546,0.8213103457032461,-1.677773419886168,1.4159714988126377,2.515632159447269
49,0.29216238344625256,0.1933729196225683,0.13859555717448865,1.3905614200443825,0.15296630010700163,0.8212960856687146,-1.677836138590305,1.4159291711905715,2.5156345574011816
50,0.29217785219625253,0.1933729196225683,0.13859555717448865,1.3904845029077453,0.15297864951652151,0.8212815254800094,-1.6779001489520207,1.4158859719260963,2.515637006387166
51,0.29219363344625254,0.1933729196225683,0.13859555717448865,1.3904060341122706,0.1529912536732887,0.8212666647618492,-1.6779654508781077,1.4158419010864869,2.5156395065021746
52,0.29220972719625254,0.1933729196225683,0.13859555717448865,1.3903260137922173,0.15300411289277527,0.8212515031313915,-1.6780320442734071,1.415796958740418,2.5156420578450733
53,0.29222613344625253,0.1933729196225683,0.13859555717448865,1.3902444420845914,0.15301722749667412,0.8212360401982342,-1.6780999290408076,1.4157511449579692,2.5156446605166556
54,0.29224285219625257,0.1933729196225683,0.13859555717448865,1.3901613191291504,0.1530305978128741,0.8212202755644156,-1.6781691050812386,1.4157044598106236,2.515647314619619
55,0.29225988344625253,0.1933729196225683,0.13859555717448865,1.3900766450684108,0.15304422417547858,0.821204208824417,-1.6782395722936685,1.4156569033712747,2.515650020258583
56,0.29227722719625254,0.1933729196225683,0.13859555717448865,1.3899904200476503,0.15305810692478872,0.8211878395651637,-1.6783113305750985,1.415608475714225,2.515652777540073
57,0.29229488344625254,0.1933729196225683,0.13859555717448865,1.3899026442149163,0.15307224640730865,0.8211711673660255,-1.67838437982056,1.4155591769151918,2.515655586572524
58,0.2923128521962525,0.1933729196225683,0.13859555717448865,1.38981331772103,0.1530866429757367,0.8211541917988193,-1.6784587199231078,1.4155090070513077,2.515658447466273
59,0.29233113344625256,0.1933729196225683,0.13859555717448865,1.3897224407195916,0.15310129698897512,0.821136912427809,-1.6785343507738193,1.4154579662011253,2.515661360333568
60,0.2923497271962526,0.1933729196225683,0.13859555717448865,1.3896300133669877,0.15311620881210786,0.8211193288097086,-1.6786112722617856,1.4154060544446179,2.5156643252885447
61,0.2923686334462526,0.1933729196225683,0.13859555717448865,1.3895360358223958,0.15313137881642014,0.8211014404936822,-1.6786894842741107,1.4153532718631843,2.515667342447247
62,0.2923878521962526,0.1933729196225683,0.13859555717448865,1.3894405082477908,0.1531468073793807,0.821083247021346,-1.6787689866959041,1.4152996185396507,2.5156704119276103
63,0.29240738344625256,0.1933729196225683,0.13859555717448865,1.3893434308079509,0.15316249488464262,0.8210647479267701,-1.6788497794102775,1.415245094558273,2.5156735338494576
64,0.2924272271962525,0.1933729196225683,0.13859555717448865,1.3892448036704634,0.1531784417220452,0.8210459427364794,-1.6789318622983398,1.4151897000047413,2.5156767083345066
65,0.29244738344625254,0.1933729196225683,0.13859555717448865,1.389144627005732,0.15319464828760232,0.8210268309694554,-1.679015235239191,1.4151334349661815,2.515679935506355
66,0.29246785219625254,0.1933729196225683,0.13859555717448865,1.389042900986982,0.15321111498351225,0.8210074121371379,-1.6790998981099188,1.4150762995311597,2.5156832154904896
67,0.29248863344625253,0.1933729196225683,0.13859555717448865,1.3889396257902682,0.15322784221814167,0.8209876857434265,-1.6791858507855921,1.4150182937896845,2.515686548414272
68,0.29250972719625257,0.1933729196225683,0.13859555717448865,1.3888348015944791,0.15324483040603454,0.8209676512846816,-1.6792730931392572,1.4149594178332099,2.515689934406945
69,0.29253113344625253,0.1933729196225683,0.13859555717448865,1.3887284285813466,0.15326207996789876,0.8209473082497274,-1.679361625041931,1.4148996717546396,2.5156933735996225
70,0.29255285219625254,0.1933729196225683,0.13859555717448865,1.3886205069354494,0.15327959133061064,0.820926656119852,-1.679451446362597,1.4148390556483283,2.51569686612529
71,0.29257488344625254,0.1933729196225683,0.13859555717448865,1.388511036844223,0.1532973649272078,0.8209056943688103,-1.6795425569681985,1.414777569610088,2.5157004121187985
72,0.29259722719625253,0.1933729196225683,0.13859555717448865,1.3884000184979643,0.15331540119688913,0.8208844224628251,-1.679634956723635,1.4147152137371881,2.5157040117168665
73,0.29261988344625256,0.1933729196225683,0.13859555717448865,1.3882874520898394,0.15333370058500861,0.8208628398605886,-1.6797286454917555,1.4146519881283603,2.5157076650580694
74,0.2926428521962526,0.1933729196225683,0.13859555717448865,1.3881733378158916,0.15335226354307707,0.8208409460132653,-1.6798236231333519,1.4145878928838038,2.5157113722828455
75,0.29266613344625253,0.1933729196225683,0.13859555717448865,1.3880576758750476,0.15337109052875064,0.8208187403644922,-1.6799198895071548,1.4145229281051848,2.51571513353348
76,0.2926897271962526,0.1933729196225683,0.13859555717448865,1.387940466469124,0.15339018200583698,0.8207962223503816,-1.6800174444698281,1.414457093895643,2.515718948954114
77,0.29271363344625256,0.1933729196225683,0.13859555717448865,1.3878217098028371,0.1534095384442864,0.8207733913995237,-1.6801162878759608,1.4143903903597945,2.5157228186907354
78,0.29273785219625253,0.1933729196225683,0.13859555717448865,1.3877014060838084,0.15342916032018827,0.8207502469329863,-1.6802164195780636,1.4143228176037352,2.515726742891172
79,0.29276238344625255,0.1933729196225683,0.13859555717448865,1.3875795555225727,0.1534490481157702,0.8207267883643184,-1.680317839426561,1.414254375735044,2.5157307217050944
80,0.29278722719625255,0.1933729196225683,0.13859555717448865,1.387456158332586,0.15346920231939443,0.8207030150995522,-1.6804205472697864,1.4141850648627874,2.5157347552840084
81,0.29281238344625254,0.1933729196225683,0.13859555717448865,1.3873312147302335,0.1534896234255534,0.8206789265372038,-1.6805245429539752,1.414114885097523,2.515738843781253
82,0.2928378521962526,0.1933729196225683,0.13859555717448865,1.3872047249348367,0.15351031193486442,0.8206545220682763,-1.6806298263232593,1.414043836551302,2.515742987351995
83,0.29286363344625255,0.1933729196225683,0.13859555717448865,1.3870766891686626,0.15353126835406883,0.8206298010762612,-1.680736397219659,1.413971919337675,2.515747186153225
84,0.29288972719625256,0.1933729196225683,0.13859555717448865,1.3869471076569297,0.15355249319602926,0.820604762937141,-1.6808442554830791,1.4138991335716944,2.515751440343757
85,0.29291613344625256,0.1933729196225683,0.13859555717448865,1.3868159806278189,0.15357398697972435,0.8205794070193905,-1.6809534009513012,1.4138254793699196,2.515755750084222
86,0.29294285219625255,0.1933729196225683,0.13859555717448865,1.3866833083124794,0.15359575023023897,0.8205537326839796,-1.6810638334599752,1.4137509568504187,2.515760115537058
87,0.2929698834462526,0.1933729196225683,0.13859555717448865,1.3865490909450378,0.15361778347877575,0.8205277392843751,-1.6811755528426173,1.4136755661327751,2.515764536866521
88,0.29299722719625254,0.1933729196225683,0.13859555717448865,1.3864133287626075,0.15364008726263467,0.8205014261665428,-1.681288558930598,1.4135993073380897,2.5157690142386655
89,0.29302488344625255,0.1933729196225683,0.13859555717448865,1.3862760220052952,0.15366266212521928,0.8204747926689496,-1.6814028515531394,1.4135221805889855,2.5157735478213477
90,0.29305285219625254,0.1933729196225683,0.13859555717448865,1.386137170916212,0.15368550861603048,0.8204478381225662,-1.6815184305373059,1.413444186009612,2.5157781377842223
91,0.29308113344625253,0.1933729196225683,0.13859555717448865,1.3859967757414802,0.1537086272906638,0.8204205618508686,-1.6816352957079987,1.4133653237256498,2.515782784298737
92,0.29310972719625256,0.1933729196225683,0.13859555717448865,1.385854836730242,0.153732018710798,0.820392963169841,-1.6817534468879476,1.4132855938643123,2.515787487538122
93,0.29313863344625257,0.1933729196225683,0.13859555717448865,1.3857113541346702,0.15375568344420287,0.8203650413879778,-1.6818728838977046,1.4132049965543532,2.515792247677397
94,0.2931678521962526,0.1933729196225683,0.13859555717448865,1.3855663282099755,0.1537796220647234,0.8203367958062857,-1.6819936065556362,1.4131235319260684,2.515797064893357
95,0.29319738344625257,0.1933729196225683,0.13859555717448865,1.3854197592144166,0.15380383515228857,0.8203082257182867,-1.6821156146779177,1.413041200111302,2.515801939364575
96,0.29322722719625255,0.1933729196225683,0.13859555717448865,1.385271647409308,0.1538283232928892,0.8202793304100195,-1.6822389080785227,1.4129580012434482,2.515806871271388
97,0.2932573834462526,0.1933729196225683,0.13859555717448865,1.385121993059031,0.1538530870785948,0.8202501091600433,-1.6823634865692199,1.4128739354574587,2.5158118607959064
98,0.29328785219625253,0.1933729196225683,0.13859555717448865,1.384970796431042,0.153878127107534,0.8202205612394382,-1.6824893499595615,1.4127890028898453,2.515816908121997
99,0.29331863344625253,0.1933729196225683,0.13859555717448865,1.3848180577958817,0.15390344398389288,0.8201906859118099,-1.682616498056878,1.4127032036786842,2.5158220134352822
100,0.2933497271962526,0.1933729196225683,0.13859555717448865,1.384663777427185,0.1539290383179166,0.8201604824332904,-1.6827449306662716,1.412616537963621,2.5158271769231386
101,0.29338113344625255,0.1933729196225683,0.13859555717448865,1.3845079556016917,0.15395491072589795,0.820129950052542,-1.6828746475906042,1.4125290058858757,2.515832398774686
102,0.29341285219625257,0.1933729196225683,0.13859555717448865,1.3843505925992536,0.15398106183018,0.820099088010758,-1.6830056486304954,1.4124406075882465,2.5158376791807915
103,0.2934448834462526,0.1933729196225683,0.13859555717448865,1.3841916887028471,0.15400749225914012,0.8200678955416678,-1.6831379335843086,1.4123513432151145,2.515843018334051
104,0.2934772271962526,0.1933729196225683,0.13859555717448865,1.3840312441985814,0.15403420264720147,0.8200363718715367,-1.6832715022481484,1.4122612129124488,2.5158484164288013
105,0.29350988344625256,0.1933729196225683,0.13859555717448865,1.3838692593757083,0.15406119363481086,0.8200045162191707,-1.6834063544158488,1.41217021682781,2.515853873661098
