idx,target_x,target_y,target_z,J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0,0.28918463413894746,0.19024517523630388,0.09478745303865285,1.392427513129542,0.2539358164440024,0.8431282848095742,-1.6532679288122096,1.3617404054021685,2.5616063175424415
1,0.28918479038894745,0.19024517523630388,0.09478745303865285,1.392426727473578,0.2539359257403362,0.8431281384866545,-1.6532686263808052,1.3617400451455812,2.5616063100040543
2,0.28918525913894744,0.19024517523630388,0.09478745303865285,1.3924243705070214,0.2539362536321601,0.8431276995140419,-1.6532707190854012,1.3617389643761562,2.561606287389342
3,0.28918604038894746,0.19024517523630388,0.09478745303865285,1.3924204422338782,0.2539368001279172,0.8431269678801786,-1.6532742069224216,1.361737163094901,2.561606249699631
4,0.2891871341389475,0.19024517523630388,0.09478745303865285,1.3924149426608257,0.2539375652416842,0.8431259435658006,-1.6532790898859056,1.361734641303496,2.561606196937134
5,0.2891885403889475,0.19024517523630388,0.09478745303865285,1.3924078717972124,0.253938548993176,0.8431246265439387,-1.6532853679675101,1.3617313990042943,2.561606129104959
6,0.28919025913894747,0.19024517523630388,0.09478745303865285,1.3923992296550585,0.2539397514077306,0.8431230167799183,-1.6532930411565059,1.3617274362003204,2.5616060462070904
7,0.28919229038894745,0.19024517523630388,0.09478745303865285,1.3923890162490562,0.25394117251632053,0.8431211142313599,-1.6533021094397793,1.361722752895272,2.561605948248404
8,0.28919463413894747,0.19024517523630388,0.09478745303865285,1.39237723159657,0.25394281235555205,0.8431189188481784,-1.6533125728018316,1.361717349093519,2.5616058352346625
9,0.2891972903889475,0.19024517523630388,0.09478745303865285,1.3923638757176384,0.2539446709676545,0.8431164305725839,-1.653324431224776,1.3617112248001044,2.561605707172507
10,0.2892002591389475,0.19024517523630388,0.09478745303865285,1.3923489486349738,0.25394674840049625,0.8431136493390821,-1.6533376846883403,1.3617043800207436,2.561605564069473
11,0.28920354038894747,0.19024517523630388,0.09478745303865285,1.3923324503739634,0.25394904470756785,0.8431105750744738,-1.6533523331698639,1.3616968147618254,2.561605405933974
12,0.28920713413894744,0.19024517523630388,0.09478745303865285,1.3923143809626708,0.25395155994799623,0.843107207697856,-1.6533683766442975,1.3616885290304124,2.561605232775314
13,0.28921104038894746,0.19024517523630388,0.09478745303865285,1.3922947404318364,0.25395429418653315,0.8431035471206209,-1.6533858150842013,1.36167952283424,2.561605044603677
14,0.28921525913894747,0.19024517523630388,0.09478745303865285,1.392273528814879,0.2539572474935614,0.8430995932464579,-1.6534046484597456,1.3616697961817188,2.561604841430134
15,0.28921979038894746,0.19024517523630388,0.09478745303865285,1.3922507461478975,0.25396041994509133,0.8430953459713523,-1.6534248767387072,1.3616593490819324,2.561604623266638
16,0.28922463413894745,0.19024517523630388,0.09478745303865285,1.3922263924696712,0.25396381162276427,0.8430908051835866,-1.6534464998864704,1.3616481815446404,2.561604390126029
17,0.28922979038894747,0.19024517523630388,0.09478745303865285,1.3922004678216622,0.2539674226138464,0.8430859707637407,-1.6534695178660237,1.3616362935802764,2.5616041420220266
18,0.2892352591389475,0.19024517523630388,0.09478745303865285,1.3921729722480172,0.2539712530112297,0.8430808425846923,-1.6534939306379592,1.3616236851999493,2.5616038789692333
19,0.28924104038894743,0.19024517523630388,0.09478745303865285,1.3921439057955687,0.2539753029134335,0.8430754205116168,-1.6535197381604698,1.3616103564154445,2.561603600983132
20,0.2892471341389475,0.19024517523630388,0.09478745303865285,1.3921132685138362,0.25397957242460834,0.8430697044019883,-1.653546940389351,1.3615963072392232,2.5616033080800946
21,0.28925354038894746,0.19024517523630388,0.09478745303865285,1.3920810604550304,0.25398406165452236,0.8430636941055802,-1.6535755372779932,1.3615815376844242,2.561603000277366
22,0.2892602591389475,0.19024517523630388,0.09478745303865285,1.3920472816740523,0.2539887707185695,0.8430573894644653,-1.6536055287773848,1.3615660477648621,2.5616026775930707
23,0.28926729038894744,0.19024517523630388,0.09478745303865285,1.392011932228498,0.25399369973777475,0.8430507903130162,-1.6536369148361085,1.3615498374950308,2.561602340046223
24,0.28927463413894744,0.19024517523630388,0.09478745303865285,1.391975012178659,0.2539988488387781,0.8430438964779062,-1.653669695400338,1.3615329068901012,2.561601987656706
25,0.2892822903889475,0.19024517523630388,0.09478745303865285,1.3919365215875252,0.25400421815384444,0.8430367077781104,-1.6537038704138376,1.3615152559659243,2.5616016204452863
26,0.28929025913894746,0.19024517523630388,0.09478745303865285,1.3918964605207886,0.2540098078208626,0.8430292240249045,-1.6537394398179586,1.3614968847390296,2.5616012384336075
27,0.2892985403889475,0.19024517523630388,0.09478745303865285,1.3918548290468435,0.2540156179833346,0.8430214450218677,-1.653776403551636,1.361477793226627,2.5616008416441853
28,0.2893071341389475,0.19024517523630388,0.09478745303865285,1.391811627236791,0.2540216487903928,0.8430133705648812,-1.6538147615513903,1.3614579814466077,2.561600430100421
29,0.2893160403889475,0.19024517523630388,0.09478745303865285,1.3917668551644418,0.2540279003967818,0.843005000442131,-1.6538545137513185,1.361437449417544,2.561600003826585
30,0.28932525913894747,0.19024517523630388,0.09478745303865285,1.391720512906317,0.25403437296286313,0.8429963344341067,-1.6538956600830965,1.36141619715869,2.5615995628478214
31,0.28933479038894744,0.19024517523630388,0.09478745303865285,1.391672600541654,0.2540410666546187,0.8429873723136032,-1.6539382004759737,1.361394224689983,2.5615991071901507
32,0.28934463413894745,0.19024517523630388,0.09478745303865285,1.3916231181524072,0.2540479816436463,0.8429781138457215,-1.6539821348567714,1.3613715320320443,2.561598636880468
33,0.28935479038894746,0.19024517523630388,0.09478745303865285,1.3915720658232529,0.2540551181071553,0.8429685587878689,-1.6540274631498777,1.3613481192061792,2.561598151946536
34,0.28936525913894745,0.19024517523630388,0.09478745303865285,1.3915194436415914,0.2540624762279693,0.8429587068897608,-1.6540741852772463,1.3613239862343776,2.561597652416988
35,0.2893760403889475,0.19024517523630388,0.09478745303865285,1.3914652516975505,0.2540700561945286,0.8429485578934204,-1.654122301158394,1.3612991331393167,2.5615971383213334
36,0.28938713413894745,0.19024517523630388,0.09478745303865285,1.3914094900839906,0.25407785820088247,0.8429381115331798,-1.6541718107103947,1.36127355994436,2.5615966096899467
37,0.28939854038894747,0.19024517523630388,0.09478745303865285,1.3913521588965054,0.2540858824466863,0.8429273675356819,-1.6542227138478771,1.361247266673558,2.561596066554067
38,0.28941025913894747,0.19024517523630388,0.09478745303865285,1.3912932582334285,0.25409412913720786,0.8429163256198797,-1.6542750104830217,1.361220253351651,2.5615955089458025
39,0.28942229038894746,0.19024517523630388,0.09478745303865285,1.3912327881958355,0.2541025984833256,0.8429049854970391,-1.6543287005255574,1.3611925200040689,2.561594936898132
40,0.28943463413894743,0.19024517523630388,0.09478745303865285,1.3911707488875484,0.2541112907015206,0.8428933468707379,-1.654383783882757,1.361164066656931,2.5615943504448935
41,0.28944729038894745,0.19024517523630388,0.09478745303865285,1.3911071404151394,0.2541202060138783,0.8428814094368678,-1.654440260459433,1.3611348933370488,2.5615937496207883
42,0.28946025913894746,0.19024517523630388,0.09478745303865285,1.3910419628879358,0.25412934464809034,0.8428691728836358,-1.6544981301579345,1.3611050000719267,2.5615931344613827
43,0.28947354038894746,0.19024517523630388,0.09478745303865285,1.3909752164180234,0.25413870683744655,0.842856636891565,-1.6545573928781425,1.361074386889762,2.5615925050031003
44,0.28948713413894744,0.19024517523630388,0.09478745303865285,1.3909069011202504,0.25414829282084206,0.8428438011334942,-1.6546180485174673,1.3610430538194462,2.5615918612832274
45,0.2895010403889475,0.19024517523630388,0.09478745303865285,1.3908370171122335,0.2541581028427693,0.8428306652745815,-1.6546800969708422,1.3610110008905678,2.5615912033399093
46,0.28951525913894743,0.19024517523630388,0.09478745303865285,1.3907655645143613,0.25416813715331976,0.8428172289723037,-1.6547435381307203,1.3609782281334113,2.561590531212147
47,0.28952979038894744,0.19024517523630388,0.09478745303865285,1.3906925434497983,0.2541783960081734,0.8428034918764578,-1.6548083718870692,1.360944735578958,2.5615898449397916
48,0.2895446341389475,0.19024517523630388,0.09478745303865285,1.390617954044491,0.25418887966861803,0.8427894536291621,-1.6548745981273691,1.36091052325889,2.5615891445635603
49,0.28955979038894747,0.19024517523630388,0.09478745303865285,1.3905417964271722,0.2541995884015238,0.842775113864858,-1.654942216736604,1.3608755912055888,2.5615884301250142
50,0.28957525913894744,0.19024517523630388,0.09478745303865285,1.390464070729366,0.2542105224793545,0.8427604722103106,-1.6550112275972602,1.3608399394521367,2.5615877016665674
51,0.28959104038894745,0.19024517523630388,0.09478745303865285,1.3903847770853919,0.25422168218016594,0.8427455282846098,-1.6550816305893208,1.3608035680323192,2.5615869592314855
52,0.28960713413894745,0.19024517523630388,0.09478745303865285,1.3903039156323718,0.2542330677875988,0.8427302816991725,-1.6551534255902598,1.3607664769806258,2.5615862028638814
53,0.28962354038894744,0.19024517523630388,0.09478745303865285,1.3902214865102334,0.25424467959088126,0.842714732057743,-1.6552266124750383,1.3607286663322504,2.5615854326087155
54,0.2896402591389475,0.19024517523630388,0.09478745303865285,1.3901374898617171,0.2542565178848246,0.8426988789563944,-1.655301191116098,1.3606901361230939,2.5615846485117926
55,0.28965729038894744,0.19024517523630388,0.09478745303865285,1.3900519258323805,0.254268582969825,0.8426827219835309,-1.655377161383358,1.3606508863897646,2.5615838506197632
