J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
-0.2569431557707248,-1.148314643814138,0.6735801598663249,0.46281051694660835,0.5993385612194432,-0.4076397970121264
-0.26399946931304247,-1.1489559536695724,0.673598846047016,0.47379939578889896,0.6027242280919398,-0.41704963061602396
-0.2714603335968879,-1.1495970502718287,0.6736170400363458,0.4853239131791666,0.6063343998971013,-0.4269030850431734
-0.27936057150676763,-1.1502378179609563,0.6736347384542534,0.4974205426416701,0.6101933261015393,-0.43722853445974286
-0.2877389979614903,-1.1508781276767626,0.6736519379138397,0.510128739433036,0.6143285382891087,-0.4480563775918147
-0.2966389886575381,-1.1515178349657424,0.6736686350213763,0.5234911896154979,0.6187713779889311,-0.4594191447994237
-0.3061091449442457,-1.152156777631293,0.6736848263763139,0.5375540719167062,0.6235576220212271,-0.4713515926257208
-0.3162040734593419,-1.1527947729527686,0.673700508571291,0.5523673294242165,0.6287282255200072,-0.4838907776122284
-0.32698530318866553,-1.153431614381182,0.6737156781921432,0.5679849464374498,0.6343302073581748,-0.4970760981997628
-0.33852236761199306,-1.1540670675968396,0.6737303318179109,0.5844652234437171,0.6404177083844346,-0.5109492895984209
-0.3508940858107206,-1.1547008657854139,0.6737444660208493,0.6018710399979832,0.6470532599759105,-0.5255543513073013
-0.36419008416804227,-1.1553327039519545,0.6737580773664367,0.6202700910150991,0.6543093092901657,-0.5409373801036623
-0.3785126100047615,-1.1559622320443292,0.6737711624133846,0.6397350763134863,0.6622700587404144,-0.5571462722966365
-0.3939787006860836,-1.156589046594762,0.6737837177136458,0.660343815801773,0.671033691207545,-0.5742302472071812
-0.41072278702325193,-1.1572126805050398,0.6737957398124241,0.6821792530398083,0.6807150700326488,-0.5922391283815105
-0.42889982879529814,-1.1578325904897926,0.6738072252481838,0.7053292975728401,0.6914490245953018,-0.6112222989706781
-0.448689103220397,-1.158448141541796,0.6738181705526594,0.7298864410187431,0.7033943586298915,-0.6312272218313548
-0.4702987932619266,-1.1590585875777313,0.6738285722508643,0.7559470631557323,0.7167387484455733,-0.6522973819222987
-0.49397154726714987,-1.1596630471410885,0.6738384268611017,0.7836103224211861,0.7317047273629147,-0.67446946729808
-0.5199911912346888,-1.1602604726563837,0.6738477308949733,0.8129765013557575,0.748556967411512,-0.6977695549777096
-0.5486907364008712,-1.1608496112279474,0.6738564808573894,0.8441446542032967,0.7676110356014096,-0.7222080110147449
-0.5804616625913792,-1.1614289543787613,0.6738646732465791,0.8772093862746488,0.7892436436422882,-0.7477727579490849
-0.6157640219555369,-1.161996673570143,0.6738723045541002,0.9122565921344612,0.8139039747689575,-0.774420528872416
-0.6551359432591249,-1.1625505382500867,0.6738793712648492,0.9493580078924346,0.8421247000710576,-0.8020657650143442
-0.699199296832188,-1.163087814487718,0.6738858698570717,0.9885645162973212,0.8745294545903366,-0.8305670207453559
-0.7486554413893604,-1.1636051466058783,0.6738917968023721,1.0298983147547887,0.9118306550507806,-0.8597112734271319
-0.8042617091121377,-1.164098433593897,0.673897148565725,1.0733443467872665,0.9548081855855699,-0.8891975696279881
-0.8667777085212591,-1.1645627270763677,0.6739019216054849,1.1188418053436184,1.0042577659801895,-0.9186230002119519
-0.9368741527292208,-1.1649921944518087,0.6739061123733968,1.166276958404552,1.060901294564273,-0.9474756830061113
-1.0150081902104073,-1.1653801995869597,0.6739097173146074,1.2154788314123797,1.1252626358748863,-0.9751402661877293
-1.1012854137946801,-1.165719542341406,0.6739127328676752,1.2662191753064782,1.1975285814849042,-1.0009203130797453
-1.1953412113641526,-1.1660028638293605,0.6739151554645818,1.3182175534627778,1.2774274483264692,-1.0240784775289626
-1.2962744327031566,-1.166223178506368,0.6739169815307426,1.3711514550126815,1.3641584540452336,-1.0438907688020158
-1.4026538198961032,-1.166374457145297,0.6739182074850185,1.4246704228846716,1.4563928176967624,-1.059707391305552
-1.512599601481205,-1.1664521704893545,0.6739188297397256,1.4784125578399698,1.552349679181913,-1.0710110068586287
-1.6239274146161038,-1.1664537119658276,0.673918844700648,1.5320215126445504,1.649934719582139,-1.0774638840478443
-1.7343329138604913,-1.1663786403794663,0.6739182487670481,1.585162154430068,1.7469204610180942,-1.0789374728805026
-1.8415919404312395,-1.1662287109097171,0.6739170383316785,1.6375333464884365,1.8411435753299235,-1.0755206281004301
-1.9437503233882114,-1.1660076906015444,0.6739152097807932,1.688876726542461,1.9306935283522098,-1.0675055629036456
-2.0392778847299358,-1.1657209824622976,0.6739127594941596,1.7389809231819109,2.0140671583634293,-1.0553535632169992
-2.1271639647934597,-1.1653751102955587,0.6739096838450698,1.7876813333593917,2.090266279740683,-1.0396454750645938
-2.2069393312470433,-1.164977141153179,0.6739059792003528,1.8348562914703677,2.158822704813764,-1.0210246115079755
-2.2786233841495087,-1.164534135434866,0.6739016419203858,1.8804210132884722,2.219748955533447,-1.0001411696707254
-2.3426136170245746,-1.1640527064094064,0.673896668359107,1.9243208826568496,2.27343096913987,-0.9776065481895109
-2.399548669448037,-1.1635387385575091,0.6738910548640269,1.966525364285819,2.320493652906906,-0.9539628563234117
-2.4501788401513984,-1.162997268668128,0.6738847977762412,2.0070232058868536,2.361672977642927,-0.9296684721993882
-2.495267375848907,-1.162432495153893,0.6738778934304425,2.0458189527505457,2.397718033198668,-0.9050966734314267
-2.535529582294889,-1.1618478643630934,0.6738703381549327,2.0829304134332545,2.429330357555349,-0.880542572415198
-2.5716041051126757,-1.1612461876237807,0.6738621282716359,2.118386647282159,2.4571351602540266,-0.85623388032123
-2.604045651699094,-1.160629758545107,0.6738532600961112,2.152226170555242,2.4816739058861153,-0.8323424108145425
-2.63332925834554,-1.1600004558336559,0.6738437299375643,2.18449524278192,2.503408463431275,-0.8089946907290748
-2.6598593602074327,-1.1593598274537085,0.6738335340988609,2.215246211906612,2.5227301135179756,-0.7862810662629265
-2.68397993262938,-1.1587091572553523,0.6738226688765401,2.244535950885656,2.5399696809267476,-0.7642632411096241
-2.705983997214404,-1.1580495170427327,0.6738111305608261,2.27242442882515,2.5554070712283474,-0.7429804093041976
-2.7261218960462674,-1.157381807207175,0.6737989154356427,2.2989734491598592,2.5692795988397688,-0.7224542048748648
-2.744608255479156,-1.1567067885817213,0.6737860197786253,2.3242455709343335,2.5817890147333116,-0.7026926806103837
