joint,a,alpha,d,theta
joint1,.160,-1.5707963267948966,.298,0
joint2,0.6,0,0,-1.5707963267948966
joint3,-0.105,1.5707963267948966,0,3.14159265358979
joint4,0,-1.5707963267948966,0.6467,0
joint5,0,1.5707963267948966,0,1.5707963267948966
joint6,0,0,0.0933,0
