idx,target_x,target_y,target_z,J1_rad,J2_rad,J3_rad,J4_rad,J5_rad,J6_rad
0,0.2973582730596009,0.0003134761274312921,0.3347700207242682,-0.0007671776931843527,-0.9827546249691292,0.6559369276726005,0.005370243852289905,0.40276828892177796,-0.003835888465921636
1,0.2973584293096009,0.0003134761274312921,0.3347700207242682,-0.000767174755180946,-0.9827538569382308,0.6559367746913887,0.00537024413075971,0.40276767386601753,-0.003835889793840842
2,0.29735889805960086,0.0003134761274312921,0.3347700207242682,-0.0007671659413057419,-0.9827515528442636,0.6559363157443084,0.005370244966502212,0.4027658287009093,-0.0038358937779001566
3,0.2973596793096009,0.0003134761274312921,0.3347700207242682,-0.0007671512519637714,-0.9827477126834023,0.655935550821024,0.005370246360516752,0.4027627534329673,-0.0038359004190047542
4,0.2973607730596009,0.0003134761274312921,0.3347700207242682,-0.0007671306878300373,-0.9827423364492756,0.6559344799043089,0.00537024831446876,0.40275844807304856,-0.003835909718663141
5,0.2973621793096009,0.0003134761274312921,0.3347700207242682,-0.0007671042498494335,-0.9827354241329633,0.6559331029700466,0.005370250830689661,0.4027529126363544,-0.0038359216789870597
6,0.2973638980596009,0.0003134761274312921,0.3347700207242682,-0.0007670719392366375,-0.9827269757229962,0.6559314199872303,0.005370253912176714,0.40274614714242724,-0.0038359363026913753
7,0.2973659293096009,0.0003134761274312921,0.3347700207242682,-0.0007670337574759709,-0.9827169912053582,0.6559294309179627,0.005370257562592742,0.4027381516151562,-0.0038359535930938106
8,0.2973682730596009,0.0003134761274312921,0.3347700207242682,-0.000766989706321228,-0.9827054705634848,0.6559271357174562,0.005370261786265865,0.40272892608277233,-0.0038359735541147397
9,0.2973709293096009,0.0003134761274312921,0.3347700207242682,-0.0007669397877954774,-0.9826924137782651,0.6559245343340332,0.005370266588189177,0.40271847057785193,-0.003835996190276889
10,0.2973738980596009,0.0003134761274312921,0.3347700207242682,-0.000766884004190827,-0.9826778208280422,0.6559216267091262,0.005370271974020339,0.40270678513731656,-0.0038360215067049933
11,0.2973771793096009,0.0003134761274312921,0.3347700207242682,-0.0007668223580681613,-0.9826616916886128,0.6559184127772776,0.0053702779500811445,0.4026938698024329,-0.003836049509125416
12,0.29738077305960087,0.0003134761274312921,0.3347700207242682,-0.0007667548522568487,-0.9826440263332303,0.6559148924661404,0.005370284523357031,0.4026797246188141,-0.0038360802038657185
