joint,a,alpha,d,theta
joint1,0.0863,1.57079632679,0.0843,0
joint2,0.19715,0,0.04315,0
joint3,0.35603136736,1.57079632679,0,0
joint4,0.1103,1.57079632679,0,0
joint5,0.1546,1.57079632679,0.05515,0
joint6,0,0,0,0
